Protein_IDs,log2FC,AveExpr,t,P,adj.P,B,Majority,Protein,Gene,direction
Q13451,-0.8804543016631641,20.213853896296843,-3.790460612069477,3.8897747826525724e-4,0.4305468181034324,-1.1963503701174,Q13451,Peptidyl-prolyl cis-trans isomerase FKBP5,FKBP5,n.s.
P22004,-0.8852149042073023,21.032003411516346,-3.646490465426896,6.102718895867221e-4,0.4305468181034324,-1.4446997456050337,P22004,Bone morphogenetic protein 6,BMP6,n.s.
O95834,0.8662263392221057,21.833944471690163,3.362830937123146,0.0014448389089347182,0.6114148771997459,-1.9214570793822467,O95834,Echinoderm microtubule-associated protein-like 2,EML2,n.s.
Q96NB2,-1.2980215537891198,20.08835522211992,-3.161125624160086,0.0026077996515501255,0.6114148771997459,-2.2487110671897974,Q96NB2,Sideroflexin-2,SFXN2,n.s.
P14618,0.5912387446651444,27.15500031076806,3.1359325134845126,0.002803518920469959,0.6114148771997459,-2.288820019763543,P14618,Pyruvate kinase isozymes M1/M2,PKM2,n.s.
P08709,-0.925112097124007,30.386586537076255,-3.1345448428035247,0.0028146906505228907,0.6114148771997459,-2.2910241073497,P08709,Coagulation factor VII;Factor VII light chain;Factor VII heavy chain,F7,n.s.
P61026,0.33869770063288485,23.705245602901893,3.107899456165569,0.0030332417720752803,0.6114148771997459,-2.3324171893039525,P61026,Ras-related protein Rab-10,RAB10,n.s.
Q53H96,-0.5236102704518579,20.74516987182175,-2.964592434883886,0.00454346433686664,0.8013535224148537,-2.5562562901815475,Q53H96,Pyrroline-5-carboxylate reductase 3,PYCRL,n.s.
P38919,-0.35498782355881175,24.500157171340003,-2.8949223045897785,0.005506080784010264,0.8142194226611656,-2.662583931223599,P38919,Eukaryotic initiation factor 4A-III,EIF4A3,n.s.
P31150,0.7180740428759691,23.166603550147187,2.8421404683353484,0.006364399348154443,0.8142194226611656,-2.7426693170930574,P31150,Rab GDP dissociation inhibitor alpha,GDI1,n.s.
